full_ticket,extra_pair,sum_all_5,high_freq_score,pair_seen_together,has_consecutive
04-13-31-40-50 MB:04,40-50,138,25,3,no
04-13-31-45-56 MB:04,45-56,149,25,3,no
04-13-31-32-36 MB:04,32-36,116,25,2,yes
04-13-31-33-50 MB:04,33-50,131,25,2,no
04-13-31-41-50 MB:04,41-50,139,25,2,no
04-13-31-42-53 MB:04,42-53,143,25,2,no
04-13-31-44-50 MB:04,44-50,142,25,2,no
04-13-31-32-34 MB:04,32-34,114,25,1,yes
04-13-31-37-45 MB:04,37-45,130,25,1,no
04-13-31-38-48 MB:04,38-48,134,25,1,no
04-13-31-43-45 MB:04,43-45,136,25,1,no
04-13-31-45-46 MB:04,45-46,139,25,1,yes
04-13-31-45-47 MB:04,45-47,140,25,1,no
04-13-31-32-49 MB:04,32-49,129,25,0,yes
04-13-31-35-45 MB:04,35-45,128,25,0,no
04-13-31-38-42 MB:04,38-42,128,25,0,no
04-13-31-39-50 MB:04,39-50,137,25,0,no
04-13-31-45-51 MB:04,45-51,144,25,0,no
04-13-31-45-57 MB:04,45-57,150,25,0,no
04-13-31-48-53 MB:04,48-53,149,25,0,no
04-13-31-50-58 MB:04,50-58,156,25,0,no
04-13-31-35-56 MB:04,35-56,139,24,2,no
04-13-31-37-47 MB:04,37-47,132,24,2,no
04-13-31-44-48 MB:04,44-48,140,24,2,no
04-13-31-45-53 MB:04,45-53,146,24,2,no
04-13-31-47-57 MB:04,47-57,152,24,2,no
04-13-31-33-42 MB:04,33-42,123,24,1,no
04-13-31-35-46 MB:04,35-46,129,24,1,no
04-13-31-35-57 MB:04,35-57,140,24,1,no
04-13-31-37-43 MB:04,37-43,128,24,1,no
04-13-31-37-51 MB:04,37-51,136,24,1,no
04-13-31-38-45 MB:04,38-45,131,24,1,no
04-13-31-39-48 MB:04,39-48,135,24,1,no
04-13-31-41-42 MB:04,41-42,131,24,1,yes
04-13-31-42-44 MB:04,42-44,134,24,1,no
