full_ticket,extra_pair,sum_all_5,high_freq_score,pair_seen_together,has_consecutive
04-13-20-31-43 MB:04,20-43,111,26,1,no
04-13-20-31-46 MB:04,20-46,114,26,1,no
04-13-20-31-51 MB:04,20-51,119,26,1,no
04-13-21-31-34 MB:04,21-34,103,26,1,no
04-13-21-31-49 MB:04,21-49,118,26,1,no
04-13-24-31-32 MB:04,24-32,104,26,1,yes
04-13-26-31-50 MB:04,26-50,124,26,1,no
04-13-30-31-38 MB:04,30-38,116,26,1,yes
02-04-13-31-43 MB:04,02-43,93,26,0,no
02-04-13-31-46 MB:04,02-46,96,26,0,no
04-06-13-31-45 MB:04,06-45,99,26,0,no
04-07-13-31-50 MB:04,07-50,105,26,0,no
04-13-14-31-48 MB:04,14-48,110,26,0,yes
04-13-20-31-47 MB:04,20-47,115,26,0,no
04-13-20-31-56 MB:04,20-56,124,26,0,no
04-13-20-31-57 MB:04,20-57,125,26,0,no
04-13-21-31-36 MB:04,21-36,105,26,0,no
04-13-25-31-45 MB:04,25-45,118,26,0,no
04-13-28-31-32 MB:04,28-32,108,26,0,yes
04-13-29-31-45 MB:04,29-45,122,26,0,no
04-13-30-31-53 MB:04,30-53,131,26,0,yes
04-13-25-31-37 MB:04,25-37,110,25,3,no
04-06-13-31-43 MB:04,06-43,97,25,2,no
04-06-13-31-56 MB:04,06-56,110,25,2,no
04-07-13-31-42 MB:04,07-42,97,25,2,no
04-08-13-31-47 MB:04,08-47,103,25,2,no
04-08-13-31-51 MB:04,08-51,107,25,2,no
04-08-13-31-56 MB:04,08-56,112,25,2,no
04-13-15-31-33 MB:04,15-33,96,25,2,no
04-13-15-31-58 MB:04,15-58,121,25,2,no
04-13-16-31-48 MB:04,16-48,112,25,2,no
04-13-18-31-39 MB:04,18-39,105,25,2,no
04-13-22-31-54 MB:04,22-54,124,25,2,no
04-13-25-31-35 MB:04,25-35,108,25,2,no
04-13-25-31-47 MB:04,25-47,120,25,2,no
04-13-29-31-51 MB:04,29-51,128,25,2,no
04-13-29-31-57 MB:04,29-57,134,25,2,no
04-13-30-31-39 MB:04,30-39,117,25,2,yes
02-04-13-31-38 MB:04,02-38,88,25,1,no
04-06-13-31-35 MB:04,06-35,89,25,1,no
04-06-13-31-37 MB:04,06-37,91,25,1,no
04-06-13-31-46 MB:04,06-46,100,25,1,no
04-06-13-31-47 MB:04,06-47,101,25,1,no
04-06-13-31-51 MB:04,06-51,105,25,1,no
04-06-13-31-57 MB:04,06-57,111,25,1,no
04-08-13-31-37 MB:04,08-37,93,25,1,no
04-08-13-31-46 MB:04,08-46,102,25,1,no
04-10-13-31-32 MB:04,10-32,90,25,1,yes
04-12-13-31-32 MB:04,12-32,92,25,1,yes
04-13-14-31-45 MB:04,14-45,107,25,1,yes
04-13-15-31-41 MB:04,15-41,104,25,1,no
04-13-18-31-44 MB:04,18-44,110,25,1,no
04-13-18-31-58 MB:04,18-58,124,25,1,no
04-13-19-31-40 MB:04,19-40,107,25,1,no
04-13-19-31-41 MB:04,19-41,108,25,1,no
04-13-20-31-38 MB:04,20-38,106,25,1,no
04-13-25-31-56 MB:04,25-56,129,25,1,no
04-13-28-31-50 MB:04,28-50,126,25,1,no
04-13-29-31-35 MB:04,29-35,112,25,1,no
04-13-29-31-46 MB:04,29-46,123,25,1,no
